Date,Value
1/1/1948,3.4
2/1/1948,3.8
3/1/1948,4
4/1/1948,3.9
5/1/1948,3.5
6/1/1948,3.6
7/1/1948,3.6
8/1/1948,3.9
9/1/1948,3.8
10/1/1948,3.7
11/1/1948,3.8
12/1/1948,4
1/1/1949,4.3
2/1/1949,4.7
3/1/1949,5
4/1/1949,5.3
5/1/1949,6.1
6/1/1949,6.2
7/1/1949,6.7
8/1/1949,6.8
9/1/1949,6.6
10/1/1949,7.9
11/1/1949,6.4
12/1/1949,6.6
1/1/1950,6.5
2/1/1950,6.4
3/1/1950,6.3
4/1/1950,5.8
5/1/1950,5.5
6/1/1950,5.4
7/1/1950,5
8/1/1950,4.5
9/1/1950,4.4
10/1/1950,4.2
11/1/1950,4.2
12/1/1950,4.3
1/1/1951,3.7
2/1/1951,3.4
3/1/1951,3.4
4/1/1951,3.1
5/1/1951,3
6/1/1951,3.2
7/1/1951,3.1
8/1/1951,3.1
9/1/1951,3.3
10/1/1951,3.5
11/1/1951,3.5
12/1/1951,3.1
1/1/1952,3.2
2/1/1952,3.1
3/1/1952,2.9
4/1/1952,2.9
5/1/1952,3
6/1/1952,3
7/1/1952,3.2
8/1/1952,3.4
9/1/1952,3.1
10/1/1952,3
11/1/1952,2.8
12/1/1952,2.7
1/1/1953,2.9
2/1/1953,2.6
3/1/1953,2.6
4/1/1953,2.7
5/1/1953,2.5
6/1/1953,2.5
7/1/1953,2.6
8/1/1953,2.7
9/1/1953,2.9
10/1/1953,3.1
11/1/1953,3.5
12/1/1953,4.5
1/1/1954,4.9
2/1/1954,5.2
3/1/1954,5.7
4/1/1954,5.9
5/1/1954,5.9
6/1/1954,5.6
7/1/1954,5.8
8/1/1954,6
9/1/1954,6.1
10/1/1954,5.7
11/1/1954,5.3
12/1/1954,5
1/1/1955,4.9
2/1/1955,4.7
3/1/1955,4.6
4/1/1955,4.7
5/1/1955,4.3
6/1/1955,4.2
7/1/1955,4
8/1/1955,4.2
9/1/1955,4.1
10/1/1955,4.3
11/1/1955,4.2
12/1/1955,4.2
1/1/1956,4
2/1/1956,3.9
3/1/1956,4.2
4/1/1956,4
5/1/1956,4.3
6/1/1956,4.3
7/1/1956,4.4
8/1/1956,4.1
9/1/1956,3.9
10/1/1956,3.9
11/1/1956,4.3
12/1/1956,4.2
1/1/1957,4.2
2/1/1957,3.9
3/1/1957,3.7
4/1/1957,3.9
5/1/1957,4.1
6/1/1957,4.3
7/1/1957,4.2
8/1/1957,4.1
9/1/1957,4.4
10/1/1957,4.5
11/1/1957,5.1
12/1/1957,5.2
1/1/1958,5.8
2/1/1958,6.4
3/1/1958,6.7
4/1/1958,7.4
5/1/1958,7.4
6/1/1958,7.3
7/1/1958,7.5
8/1/1958,7.4
9/1/1958,7.1
10/1/1958,6.7
11/1/1958,6.2
12/1/1958,6.2
1/1/1959,6
2/1/1959,5.9
3/1/1959,5.6
4/1/1959,5.2
5/1/1959,5.1
6/1/1959,5
7/1/1959,5.1
8/1/1959,5.2
9/1/1959,5.5
10/1/1959,5.7
11/1/1959,5.8
12/1/1959,5.3
1/1/1960,5.2
2/1/1960,4.8
3/1/1960,5.4
4/1/1960,5.2
5/1/1960,5.1
6/1/1960,5.4
7/1/1960,5.5
8/1/1960,5.6
9/1/1960,5.5
10/1/1960,6.1
11/1/1960,6.1
12/1/1960,6.6
1/1/1961,6.6
2/1/1961,6.9
3/1/1961,6.9
4/1/1961,7
5/1/1961,7.1
6/1/1961,6.9
7/1/1961,7
8/1/1961,6.6
9/1/1961,6.7
10/1/1961,6.5
11/1/1961,6.1
12/1/1961,6
1/1/1962,5.8
2/1/1962,5.5
3/1/1962,5.6
4/1/1962,5.6
5/1/1962,5.5
6/1/1962,5.5
7/1/1962,5.4
8/1/1962,5.7
9/1/1962,5.6
10/1/1962,5.4
11/1/1962,5.7
12/1/1962,5.5
1/1/1963,5.7
2/1/1963,5.9
3/1/1963,5.7
4/1/1963,5.7
5/1/1963,5.9
6/1/1963,5.6
7/1/1963,5.6
8/1/1963,5.4
9/1/1963,5.5
10/1/1963,5.5
11/1/1963,5.7
12/1/1963,5.5
1/1/1964,5.6
2/1/1964,5.4
3/1/1964,5.4
4/1/1964,5.3
5/1/1964,5.1
6/1/1964,5.2
7/1/1964,4.9
8/1/1964,5
9/1/1964,5.1
10/1/1964,5.1
11/1/1964,4.8
12/1/1964,5
1/1/1965,4.9
2/1/1965,5.1
3/1/1965,4.7
4/1/1965,4.8
5/1/1965,4.6
6/1/1965,4.6
7/1/1965,4.4
8/1/1965,4.4
9/1/1965,4.3
10/1/1965,4.2
11/1/1965,4.1
12/1/1965,4
1/1/1966,4
2/1/1966,3.8
3/1/1966,3.8
4/1/1966,3.8
5/1/1966,3.9
6/1/1966,3.8
7/1/1966,3.8
8/1/1966,3.8
9/1/1966,3.7
10/1/1966,3.7
11/1/1966,3.6
12/1/1966,3.8
1/1/1967,3.9
2/1/1967,3.8
3/1/1967,3.8
4/1/1967,3.8
5/1/1967,3.8
6/1/1967,3.9
7/1/1967,3.8
8/1/1967,3.8
9/1/1967,3.8
10/1/1967,4
11/1/1967,3.9
12/1/1967,3.8
1/1/1968,3.7
2/1/1968,3.8
3/1/1968,3.7
4/1/1968,3.5
5/1/1968,3.5
6/1/1968,3.7
7/1/1968,3.7
8/1/1968,3.5
9/1/1968,3.4
10/1/1968,3.4
11/1/1968,3.4
12/1/1968,3.4
1/1/1969,3.4
2/1/1969,3.4
3/1/1969,3.4
4/1/1969,3.4
5/1/1969,3.4
6/1/1969,3.5
7/1/1969,3.5
8/1/1969,3.5
9/1/1969,3.7
10/1/1969,3.7
11/1/1969,3.5
12/1/1969,3.5
1/1/1970,3.9
2/1/1970,4.2
3/1/1970,4.4
4/1/1970,4.6
5/1/1970,4.8
6/1/1970,4.9
7/1/1970,5
8/1/1970,5.1
9/1/1970,5.4
10/1/1970,5.5
11/1/1970,5.9
12/1/1970,6.1
1/1/1971,5.9
2/1/1971,5.9
3/1/1971,6
4/1/1971,5.9
5/1/1971,5.9
6/1/1971,5.9
7/1/1971,6
8/1/1971,6.1
9/1/1971,6
10/1/1971,5.8
11/1/1971,6
12/1/1971,6
1/1/1972,5.8
2/1/1972,5.7
3/1/1972,5.8
4/1/1972,5.7
5/1/1972,5.7
6/1/1972,5.7
7/1/1972,5.6
8/1/1972,5.6
9/1/1972,5.5
10/1/1972,5.6
11/1/1972,5.3
12/1/1972,5.2
1/1/1973,4.9
2/1/1973,5
3/1/1973,4.9
4/1/1973,5
5/1/1973,4.9
6/1/1973,4.9
7/1/1973,4.8
8/1/1973,4.8
9/1/1973,4.8
10/1/1973,4.6
11/1/1973,4.8
12/1/1973,4.9
1/1/1974,5.1
2/1/1974,5.2
3/1/1974,5.1
4/1/1974,5.1
5/1/1974,5.1
6/1/1974,5.4
7/1/1974,5.5
8/1/1974,5.5
9/1/1974,5.9
10/1/1974,6
11/1/1974,6.6
12/1/1974,7.2
1/1/1975,8.1
2/1/1975,8.1
3/1/1975,8.6
4/1/1975,8.8
5/1/1975,9
6/1/1975,8.8
7/1/1975,8.6
8/1/1975,8.4
9/1/1975,8.4
10/1/1975,8.4
11/1/1975,8.3
12/1/1975,8.2
1/1/1976,7.9
2/1/1976,7.7
3/1/1976,7.6
4/1/1976,7.7
5/1/1976,7.4
6/1/1976,7.6
7/1/1976,7.8
8/1/1976,7.8
9/1/1976,7.6
10/1/1976,7.7
11/1/1976,7.8
12/1/1976,7.8
1/1/1977,7.5
2/1/1977,7.6
3/1/1977,7.4
4/1/1977,7.2
5/1/1977,7
6/1/1977,7.2
7/1/1977,6.9
8/1/1977,7
9/1/1977,6.8
10/1/1977,6.8
11/1/1977,6.8
12/1/1977,6.4
1/1/1978,6.4
2/1/1978,6.3
3/1/1978,6.3
4/1/1978,6.1
5/1/1978,6
6/1/1978,5.9
7/1/1978,6.2
8/1/1978,5.9
9/1/1978,6
10/1/1978,5.8
11/1/1978,5.9
12/1/1978,6
1/1/1979,5.9
2/1/1979,5.9
3/1/1979,5.8
4/1/1979,5.8
5/1/1979,5.6
6/1/1979,5.7
7/1/1979,5.7
8/1/1979,6
9/1/1979,5.9
10/1/1979,6
11/1/1979,5.9
12/1/1979,6
1/1/1980,6.3
2/1/1980,6.3
3/1/1980,6.3
4/1/1980,6.9
5/1/1980,7.5
6/1/1980,7.6
7/1/1980,7.8
8/1/1980,7.7
9/1/1980,7.5
10/1/1980,7.5
11/1/1980,7.5
12/1/1980,7.2
1/1/1981,7.5
2/1/1981,7.4
3/1/1981,7.4
4/1/1981,7.2
5/1/1981,7.5
6/1/1981,7.5
7/1/1981,7.2
8/1/1981,7.4
9/1/1981,7.6
10/1/1981,7.9
11/1/1981,8.3
12/1/1981,8.5
1/1/1982,8.6
2/1/1982,8.9
3/1/1982,9
4/1/1982,9.3
5/1/1982,9.4
6/1/1982,9.6
7/1/1982,9.8
8/1/1982,9.8
9/1/1982,10.1
10/1/1982,10.4
11/1/1982,10.8
12/1/1982,10.8
1/1/1983,10.4
2/1/1983,10.4
3/1/1983,10.3
4/1/1983,10.2
5/1/1983,10.1
6/1/1983,10.1
7/1/1983,9.4
8/1/1983,9.5
9/1/1983,9.2
10/1/1983,8.8
11/1/1983,8.5
12/1/1983,8.3
1/1/1984,8
2/1/1984,7.8
3/1/1984,7.8
4/1/1984,7.7
5/1/1984,7.4
6/1/1984,7.2
7/1/1984,7.5
8/1/1984,7.5
9/1/1984,7.3
10/1/1984,7.4
11/1/1984,7.2
12/1/1984,7.3
1/1/1985,7.3
2/1/1985,7.2
3/1/1985,7.2
4/1/1985,7.3
5/1/1985,7.2
6/1/1985,7.4
7/1/1985,7.4
8/1/1985,7.1
9/1/1985,7.1
10/1/1985,7.1
11/1/1985,7
12/1/1985,7
1/1/1986,6.7
2/1/1986,7.2
3/1/1986,7.2
4/1/1986,7.1
5/1/1986,7.2
6/1/1986,7.2
7/1/1986,7
8/1/1986,6.9
9/1/1986,7
10/1/1986,7
11/1/1986,6.9
12/1/1986,6.6
1/1/1987,6.6
2/1/1987,6.6
3/1/1987,6.6
4/1/1987,6.3
5/1/1987,6.3
6/1/1987,6.2
7/1/1987,6.1
8/1/1987,6
9/1/1987,5.9
10/1/1987,6
11/1/1987,5.8
12/1/1987,5.7
1/1/1988,5.7
2/1/1988,5.7
3/1/1988,5.7
4/1/1988,5.4
5/1/1988,5.6
6/1/1988,5.4
7/1/1988,5.4
8/1/1988,5.6
9/1/1988,5.4
10/1/1988,5.4
11/1/1988,5.3
12/1/1988,5.3
1/1/1989,5.4
2/1/1989,5.2
3/1/1989,5
4/1/1989,5.2
5/1/1989,5.2
6/1/1989,5.3
7/1/1989,5.2
8/1/1989,5.2
9/1/1989,5.3
10/1/1989,5.3
11/1/1989,5.4
12/1/1989,5.4
1/1/1990,5.4
2/1/1990,5.3
3/1/1990,5.2
4/1/1990,5.4
5/1/1990,5.4
6/1/1990,5.2
7/1/1990,5.5
8/1/1990,5.7
9/1/1990,5.9
10/1/1990,5.9
11/1/1990,6.2
12/1/1990,6.3
1/1/1991,6.4
2/1/1991,6.6
3/1/1991,6.8
4/1/1991,6.7
5/1/1991,6.9
6/1/1991,6.9
7/1/1991,6.8
8/1/1991,6.9
9/1/1991,6.9
10/1/1991,7
11/1/1991,7
12/1/1991,7.3
1/1/1992,7.3
2/1/1992,7.4
3/1/1992,7.4
4/1/1992,7.4
5/1/1992,7.6
6/1/1992,7.8
7/1/1992,7.7
8/1/1992,7.6
9/1/1992,7.6
10/1/1992,7.3
11/1/1992,7.4
12/1/1992,7.4
1/1/1993,7.3
2/1/1993,7.1
3/1/1993,7
4/1/1993,7.1
5/1/1993,7.1
6/1/1993,7
7/1/1993,6.9
8/1/1993,6.8
9/1/1993,6.7
10/1/1993,6.8
11/1/1993,6.6
12/1/1993,6.5
1/1/1994,6.6
2/1/1994,6.6
3/1/1994,6.5
4/1/1994,6.4
5/1/1994,6.1
6/1/1994,6.1
7/1/1994,6.1
8/1/1994,6
9/1/1994,5.9
10/1/1994,5.8
11/1/1994,5.6
12/1/1994,5.5
1/1/1995,5.6
2/1/1995,5.4
3/1/1995,5.4
4/1/1995,5.8
5/1/1995,5.6
6/1/1995,5.6
7/1/1995,5.7
8/1/1995,5.7
9/1/1995,5.6
10/1/1995,5.5
11/1/1995,5.6
12/1/1995,5.6
1/1/1996,5.6
2/1/1996,5.5
3/1/1996,5.5
4/1/1996,5.6
5/1/1996,5.6
6/1/1996,5.3
7/1/1996,5.5
8/1/1996,5.1
9/1/1996,5.2
10/1/1996,5.2
11/1/1996,5.4
12/1/1996,5.4
1/1/1997,5.3
2/1/1997,5.2
3/1/1997,5.2
4/1/1997,5.1
5/1/1997,4.9
6/1/1997,5
7/1/1997,4.9
8/1/1997,4.8
9/1/1997,4.9
10/1/1997,4.7
11/1/1997,4.6
12/1/1997,4.7
1/1/1998,4.6
2/1/1998,4.6
3/1/1998,4.7
4/1/1998,4.3
5/1/1998,4.4
6/1/1998,4.5
7/1/1998,4.5
8/1/1998,4.5
9/1/1998,4.6
10/1/1998,4.5
11/1/1998,4.4
12/1/1998,4.4
1/1/1999,4.3
2/1/1999,4.4
3/1/1999,4.2
4/1/1999,4.3
5/1/1999,4.2
6/1/1999,4.3
7/1/1999,4.3
8/1/1999,4.2
9/1/1999,4.2
10/1/1999,4.1
11/1/1999,4.1
12/1/1999,4
1/1/2000,4
2/1/2000,4.1
3/1/2000,4
4/1/2000,3.8
5/1/2000,4
6/1/2000,4
7/1/2000,4
8/1/2000,4.1
9/1/2000,3.9
10/1/2000,3.9
11/1/2000,3.9
