CLO Identifier (auto),CLO Number (edit),"Bloom's Taxonomy (R=Remembering, U=Understanding, Ap=Applying, An=Analyzing, E=Evaluating, C=Creating)","CLO Level (C=core, I=intermediate, A=advanced) (edit)",WeBWork Level Classification of CLO,Course Learning Outcome (CLO),Notes / topics / questions,Week / Meeting,WeBWork 1 (question name and type),WeBWork 2  (question name and type), WeBWork 3  (question name and type) ... 2 Q's each should be enough for most outcomes ...,WeBWork 4
1-0-0-C,1-0-0,,C,,"work with functions algebraically, graphically and symbolically; identify and interpret key features of functions (slope, intercepts, equations)",High-level outcome (for course outline); short name: #1-0-0-C; functions,,No. of 1-0-0-C problems  --- >>>,19,,
1-7-0-C-A,1-7-0,C,A,N/A,create functions that satisfy a given set of properties,,W1-M2,,,,
1-1-0-An-C,1-1-0,An,C,4,interpret key features and properties from the graph of a function,,W1-M1,1-1-0-An-C-interpret-graph1.pg; numeric and intervals; no randomization,1-1-0-An-C-graph-interval-jms.pg; interval list; read intervals of increase/decrease off the graph of a random parabola,"1-1-0-An-C-quad-linear-jms.pg; drop down; determine if graph is a linear or quadratic, if linear determine if slope is +/-",
1-2-0-An-C,1-2-0,An,C,4,switch between different representations of functions,,W1-M1,1-2-0-An-C-mc1-jms.pg; multiple choice; set builder and function notation,1-2-0-An-C-fcn-sub-jms.pg; function answer; make subsitutions of numbrers and variables in function,,
1-3-1-Ap-C,1-3-1,Ap,C,3,solve problems and make calculations involving trigonometric functions,,,1-3-1-Ap-C-eval-cos-sin-AT.pg,1-3-1-AP-C-solve-for-theta-AT.pg,,
1-3-2-Ap-C,1-3-2,Ap,C,3,solve problems and make calculations involving logarithmic functions,,,1-3-2-Ap-C-log-to-exp-jms.pg; numeric and function; given log equation write exponential equation,1-3-2-Ap-C-exp-to-log-jms.pg; numeric and function; givenexp equation write logarithm,,
1-3-3-Ap-C,1-3-3,Ap,C,3,solve problems and make calculations involving exponential functions,,,,,,
1-3-4-Ap-C,1-3-4,Ap,C,3,solve problems and make calculations involving piecewise functions,,W1-M2,,,,
1-3-5-Ap-C,1-3-5,Ap,C,3,solve problems and make calculations involving polynomial and algebraic functions,,,,,,
1-4-0-U-C,1-4-0,U,C,2,identify different classes of common functions ,,W1-M1,1-4-0-U-C-rational1-jms.pg; multiselect; choose rational functions,1-4-0-U-C-drop-down-jms_1.pg; drop down; choose best description of type of function,,
1-6-0-U-C,1-6-0,U,C,2,"identify components of a function (domain, codomain, definition, image)",,W1-M1,1-6-0-U-C-rational-dom-jms.pg; interval (union); find domain of rational function,1-6-0-U-C-alg-dom-dg.pg; interval (union); find domain of algebraic function (Danny's template example),,
1-1-1-U-C,1-1-1,U,C,2,identify the slope and intercept from the graph of a linear function,,W1-M2,"1-1-1-U-C-slope-int-1-jms.pg; numeric; identify slope, x and y intercepts from a random linear graph (positive slope)","1-1-1-U-C-slope-int-2-jms.pg; numeric; identify slope, x intercepts from a random linear graph + calculuate y-int (negative slope)",,
1-10-0-U-C,1-10-0,U,C,2,identify when a function is invertible,,W1-M2,,,,
1-1-3-U-C,1-1-3,U,C,2,interpret the meaning of a slope algebraically in terms of change in dependent/independent variables,"e-g-, if m = 3 and Delta x = 2, then Delta y = 6",W1-M2,"1-1-3-U-C-delta-slope-jms.pg; numeric; random line, calculate change in x and y given random changes (one increase, one decrease) in two parts",1-1-3-U-C-point-slope-jms.pg; numeric and function; find slope and equation of line joining two randomly generated points,,
1-1-4-U-C,1-1-4,U,C,2,interpret the meaning of an intercept algebraically in terms of solutions to equations,"e-g-, if the x intercept of y=f(x) is x = 2, then f(2) = 0",W1-M2,1-1-4-U-C-num-int-jms.pg; numeric; fill in interpretation of x and y intercepts given unknown function and random values,1-1-4-U-C-int-from-eq-jms.pg; drop down + numeric; given equations identify intercepts,,
1-5-0-E-I,1-5-0,E,I,4,identify appropriate types of functions for various calculus problems/applications,,,,,,
1-2-1-E-I,1-2-1,E,I,4,identify appropriate representations of functions for communicating information,,W1-M1,,,,
1-2-2-An-I,1-2-2,An,I,4,conceptualize functions as transformations or operations,,W1-M1,,,,
1-8-0-C-I,1-8-0,C,I,N/A,do math with bad pictures (develop intuitive sense of salient features of a function graphically),,,,,,
2-0-0-C,2-0-0,,C,,develop fluency working with variables and equations using algebra to solve equations,"High-level outcome (for course outline); short name #2-0-0-C; equations ** This really should be a course ""in-come""",,No. of 2-0-0-C problems  --- >>>,17,Make 3 each here!,
2-1-0-Ap-C,2-1-0,Ap,C,3,factor polynomial functions of degree less than or equal to 3,,,2-1-0-Ap-C-factor-root-jms.pg; numeric list; factor non-monic quadratic to find distinct roots,2-1-0-Ap-C-factor-root-v2-jms.pg; numeric list; factor monic cubic with root x=0 to find distinct roots of resulting monic quadratic,2-1-0-Ap-C-factor-blanks-jms.pg; numeric; fill-in coefficients to factor quadratic based on a pre-determined pattern (x+b)(cx+a),2-1-0-Ap-C-factor-blanks-v2-jms.pg; numeric; fill-in variable or coefficients to factor cubic based on a pre-determined pattern x(x+b)(cx+a)
2-2-0-Ap-C,2-2-0,Ap,C,3,solve equations involving common functions in the course,,,2-2-0-Ap-C-quad-log-jms.pg; numeric list; solve quadratic equation with log variable,2-2-0-Ap-C-abs-quad-jms.pg; numeric list; solve equation with absolute value and quadratic,,
2-2-1-Ap-C,2-2-1,Ap,C,3,solve equations involving polynomial functions,,,"2-2-1-Ap-C-poly-int-jms.pg; list of points; find intersection point of quadratic and linear; sometimes no solution, integer solutions, one case of irrational solutions",2-2-1-Ap-C-poly-int-v2-jms.pg; numeric list; find intersection to two quadratics; integer solutions (sometimes large) or no solutions; revised version of other problem,2-2-1-Ap-C-quad-lin-int-jms.pg; find intersection point of quadratic and linear; integer solutions or no solutions; same problem as poly-int-v2 but with f and g changed,
2-2-2-Ap-C,2-2-2,Ap,C,3,solve equations involving logarithmic and exponential functions,,,2-2-2-Ap-C-quad-log-dist-jms.pg; numeric; solve quadratic equation with log variable with distinct roots ordered large to small,2-2-2-Ap-C-exp-log-jms.pg; list; no solutions to a log/exp equation,2-2-2-Ap-C-lin-log-jms.pg; numeric list; linear factor with log variable; x=0 not in the domain so only one solution,
2-2-3-Ap-C,2-2-3,Ap,C,3,solve equations involving trigonometric functions (with or without domain restrictions),,,"2-2-3-Ap-C-sin-eq-jms.pg; numeric or numeric list; solve sin(x) = sin(2x) or sin(x) = sin(3x) for x in (0,pi)","2-2-3-Ap-C-cos-eq-jms.pg; numeric; solve cos(x) = cos(2x) or cos(x) = cos(3x) for x in (0,pi)","2-2-3-Ap-C-trig-x-jms.pg; numeric or numeric list; solve either x+sin(2x) = x or x+cos(2x) = x for x in (0,pi)",
